hyperparam_learning_rate,hyperparam_batch_size,training_duration,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_test_accuracy,is_mnist,is_cifar10
-0.3654518645610676,,,1.2568339865256164,0.2863964173643497,-0.4461359722283876,0.9978851512792348,0.4086335436690224,0.0324148716897896,-0.1081758876521047,0.5348835081028354,1,0
,,,1.2734441202047773,0.1845929882320705,-0.4868053252582505,0.2907081756810455,0.2521198669525476,0.029775875108825,-0.1195415468889469,0.5976808307612006,1,0
,,,1.2676212640970346,0.1845929882320705,-0.4398772853543518,0.6432211572549511,0.4566853357874218,0.0296449359593184,-0.1181517653199872,0.5976808307612006,1,0
,,-0.2915060014481938,1.2519471889830545,0.1845929882320705,-0.3767474315613252,0.9325955969030196,0.3562021399898413,0.0603837435389399,-0.1014258436503955,0.5976808307612006,1,0
,,-0.3413239216175628,1.261061552390352,0.2863964173643497,-0.3953559597058262,0.524535882051676,0.7608772322515343,-0.074257862021872,-0.2221598205856669,0.5976808307612006,1,0
-0.1862118506695835,,,1.266854288062793,0.1845929882320705,-0.3957753007519253,0.4779727890081741,0.4629284963269699,0.0619884780556201,-0.1109260823705598,0.5348835081028354,1,0
-0.4889965208773489,,,1.2633295224086,0.1845929882320705,-0.4064812785712918,0.9143752561468668,0.4658304679345493,0.061953441164843,-0.1052925237368577,0.4720861854444702,1,0
,,,1.2475055744716923,0.2863964173643497,-0.4196503503729463,0.9986443321440744,0.7811780492915875,0.0638497005804246,-0.1031754085839576,0.5976808307612006,1,0
,,,1.2538051556408878,0.2863964173643497,-0.3850894390021614,0.8661672712295453,0.7821453731607771,0.0621010003779233,-0.1082531516757605,0.5976808307612006,1,0
,,-0.3247179482277732,1.271075585133964,0.1845929882320705,-0.4222385123406353,0.4484912654235656,0.3527276394794926,0.1249154076775835,-0.025281541552288,0.4720861854444702,1,0
,,-0.3081119748379835,1.268545714069027,0.0827895590997913,-0.4055328180285544,1.0593788013312508,0.2194754013095264,0.1545882852339491,0.0002337898198375,0.4720861854444702,1,0
-0.3939080273641289,,,1.2660953564848103,0.0827895590997913,-0.51074827993041,0.9090609900929888,0.0993826999067152,0.2397741964856705,0.0751894395247003,-0.6582656224061041,1,0
-0.359164492753528,,,1.25540115731435,0.0827895590997913,-0.4529032408321061,0.9425914782900762,0.1322253725913074,0.2398696495534926,0.08181311032751,-0.5954682997477388,1,0
,,,1.2625645732666262,0.0827895590997913,-0.4329536799892653,0.4812625727558128,0.2361103954785152,0.2383745176182176,0.0746040128491271,0.5034848467736528,1,0
,,,1.2538003750822315,0.1845929882320705,-0.476391856942622,0.9170323891738056,0.4876357207309519,0.241140410630522,0.0840603202972033,0.5034848467736528,1,0
,,-0.3247179482277732,1.2673112344266717,0.0827895590997913,-0.4288320889856514,0.5416174515105697,0.1041368252911877,0.1227756867901921,-0.0196534035359525,0.4720861854444702,1,0
,,-0.2915060014481938,1.2615932832616548,0.1845929882320705,-0.4656476394091756,0.9490445156412132,0.5306103361308528,0.2413535517160826,0.0833093625301134,0.4720861854444702,1,0
-0.3932431665258903,,,1.2651900274545065,0.0827895590997913,-0.5143738689847349,0.9825750038383004,0.203019578155865,0.2398218107218546,0.0772726555928762,-0.6582656224061041,1,0
-0.5251837250630268,,,1.2656165679338796,0.1845929882320705,-0.471820487243234,0.8293469992848195,0.4884962703695626,0.2291679007801835,0.0768129548783095,-1.003650897027113,1,0
,,,1.2597589866015826,0.0827895590997913,-0.4565721325438467,0.8500979429237713,0.0876646750638812,0.2014876340890365,0.0635246754758641,0.5034848467736528,1,0
