source,target,weight
is_parallel,perf_map,0.30000001192092896
is_parallel,perf_top1_accuracy,0.45000001788139343
is_parallel,perf_top5_accuracy,0.30000001192092896
is_parallel,perf_top10_accuracy,0.4000000059604645
is_parallel,perf_precision,0.4000000059604645
is_parallel,perf_recall,0.30000001192092896
is_parallel,hyperparam_learning_rate_x_is_parallel,0.3499999940395355
is_parallel,hyperparam_epochs_x_is_parallel,0.45000001788139343
model_mnist_ff,perf_rank5,0.3499999940395355
model_mnist_ff,perf_top1_accuracy,0.30000001192092896
model_mnist_rnn,perf_map,0.30000001192092896
model_mnist_rnn,perf_rank1,0.30000001192092896
model_mnist_rnn,perf_top1_accuracy,0.30000001192092896
model_siamese,perf_rank5,0.30000001192092896
hyperparam_batch_size,perf_rank5,0.30000001192092896
hyperparam_batch_size,perf_top10_accuracy,0.30000001192092896
hyperparam_learning_rate,perf_eval_samples_per_second,0.4000000059604645
hyperparam_learning_rate,perf_map,0.3499999940395355
hyperparam_learning_rate,perf_rank1,0.4000000059604645
hyperparam_learning_rate,perf_rank5,0.4000000059604645
hyperparam_learning_rate,perf_top1_accuracy,0.4000000059604645
hyperparam_learning_rate,perf_top20_accuracy,0.4000000059604645
hyperparam_learning_rate,perf_accuracy,0.30000001192092896
hyperparam_epochs,perf_eval_loss,0.30000001192092896
hyperparam_epochs,perf_eval_samples_per_second,0.3499999940395355
hyperparam_epochs,perf_top1_accuracy,0.30000001192092896
hyperparam_epochs,perf_top5_accuracy,0.550000011920929
hyperparam_epochs,perf_top10_accuracy,0.30000001192092896
hyperparam_epochs,perf_top20_accuracy,0.5
hyperparam_epochs,perf_recall,0.30000001192092896
hyperparam_seed,perf_map,0.3499999940395355
hyperparam_seed,perf_rank1,0.4000000059604645
hyperparam_seed,perf_rank5,0.30000001192092896
perf_test_accuracy,energy_gpu_avg_watts,0.30000001192092896
perf_test_accuracy,energy_gpu_max_watts,0.3499999940395355
perf_test_accuracy,energy_gpu_temp_avg_celsius,0.3499999940395355
perf_test_accuracy,hyperparam_learning_rate,0.8500000238418579
perf_test_accuracy,hyperparam_epochs,0.550000011920929
perf_test_accuracy,hyperparam_seed,0.3499999940395355
perf_test_accuracy,perf_eval_loss,0.5
perf_test_accuracy,perf_eval_samples_per_second,0.45000001788139343
perf_test_accuracy,perf_map,0.4000000059604645
perf_test_accuracy,perf_rank1,0.550000011920929
perf_test_accuracy,perf_rank5,0.5
perf_test_accuracy,perf_top1_accuracy,0.4000000059604645
perf_test_accuracy,perf_top5_accuracy,0.45000001788139343
perf_test_accuracy,perf_top10_accuracy,0.30000001192092896
perf_test_accuracy,perf_top20_accuracy,0.45000001788139343
perf_test_accuracy,perf_accuracy,0.550000011920929
perf_test_accuracy,perf_precision,0.45000001788139343
perf_test_accuracy,perf_recall,0.5
perf_test_accuracy,perf_best_val_accuracy,0.3499999940395355
perf_test_accuracy,hyperparam_epochs_x_is_parallel,0.3499999940395355
hyperparam_l2_regularization,hyperparam_learning_rate,0.30000001192092896
hyperparam_l2_regularization,perf_map,0.45000001788139343
hyperparam_l2_regularization,perf_top20_accuracy,0.3499999940395355
