experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,composite_id
mutation_1x__examples_mnist_011_parallel,2025-11-20T20:19:39.646415,examples,mnist,True,True,200.0754635334015,0,Training completed successfully,,,,,,0.0117457288502723,,,,,,,,,,,97.0,0.1057,,,,,,,,7151.34,496.83,7648.17,255.48319587628865,281.1,4.94,49563.74,74.01546391752578,79.0,87.23711340206185,97.0,mutation_1x,1.0,learning_rate,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_011_parallel/background_logs,200.0754635334015,0.0,Training completed successfully,mutation_1x__examples_mnist_011_parallel|2025-11-20T20:19:39.646415
mutation_1x__examples_mnist_012_parallel,2025-11-20T20:24:29.017589,examples,mnist,True,True,199.36053729057312,0,Training completed successfully,,,,,,,,4387.0,,,,,,,,,99.0,0.0272,,,,,,,,7134.54,487.23,7621.77,256.01561855670127,282.26,5.19,49667.03000000004,74.97422680412372,79.0,87.40721649484536,97.0,mutation_1x,1.0,seed,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_012_parallel/background_logs,199.36053729057312,0.0,Training completed successfully,mutation_1x__examples_mnist_012_parallel|2025-11-20T20:24:29.017589
mutation_1x__examples_mnist_rnn_013,2025-11-20T20:28:54.613474,examples,mnist_rnn,False,True,205.58954310417172,0,Training completed successfully,,,,9.0,,,,,,,,,,,,,95.0,0.162,,,,,,,,8332.12,496.07,8828.19,10.149238578680205,84.13,3.94,1999.4,50.7005076142132,60.0,0.0,0.0,mutation_1x,1.0,epochs,,,,,,,,,mutation_1x__examples_mnist_rnn_013|2025-11-20T20:28:54.613474
mutation_1x__examples_mnist_rnn_014,2025-11-20T20:35:10.892706,examples,mnist_rnn,False,True,316.2724051475525,0,Training completed successfully,,,,,,0.0117953362611761,,,,,,,,,,,65.0,1.1741,,,,,,,,12843.04,777.11,13620.15,7.639049180327864,80.62,3.6,2329.9099999999985,40.87868852459017,50.0,0.0098360655737704,3.0,mutation_1x,1.0,learning_rate,,,,,,,,,mutation_1x__examples_mnist_rnn_014|2025-11-20T20:35:10.892706
mutation_1x__examples_mnist_rnn_015,2025-11-20T20:41:25.066048,examples,mnist_rnn,False,True,314.1664960384369,0,Training completed successfully,,,,,,,,4297.0,,,,,,,,,96.0,0.1374,,,,,,,,12759.41,760.11,13519.52,7.434719471947195,77.72,3.48,2252.7200000000003,36.6039603960396,44.0,0.0099009900990099,3.0,mutation_1x,1.0,seed,,,,,,,,,mutation_1x__examples_mnist_rnn_015|2025-11-20T20:41:25.066048
mutation_1x__examples_mnist_rnn_016_parallel,2025-11-20T20:47:45.598823,examples,mnist_rnn,True,True,290.52358841896057,0,Training completed successfully,,,,12.0,,,,,,,,,,,,,95.0,0.1593,,,,,,,,13114.77,795.99,13910.76,309.1680496453901,317.98,252.55,87185.39000000001,77.97163120567376,82.0,98.33333333333331,99.0,mutation_1x,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_016_parallel/background_logs,290.52358841896057,0.0,Training completed successfully,mutation_1x__examples_mnist_rnn_016_parallel|2025-11-20T20:47:45.598823
mutation_1x__examples_mnist_rnn_017_parallel,2025-11-20T20:54:52.170037,examples,mnist_rnn,True,True,336.5597879886627,0,Training completed successfully,,,,,,0.0187602661574486,,,,,,,,,,,74.0,0.8218,,,,,,,,15207.07,932.66,16139.73,288.5563914373088,318.2,214.13,94357.93999999996,81.41896024464832,84.0,98.30581039755351,99.0,mutation_1x,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_017_parallel/background_logs,336.5597879886627,0.0,Training completed successfully,mutation_1x__examples_mnist_rnn_017_parallel|2025-11-20T20:54:52.170037
mutation_1x__examples_mnist_rnn_018_parallel,2025-11-20T21:01:59.029453,examples,mnist_rnn,True,True,336.8482401371002,0,Training completed successfully,,,,,,,,550.0,,,,,,,,,95.0,0.157,,,,,,,,15253.4,932.19,16185.59,273.18587155963286,316.91,217.22,89331.77999999994,81.47094801223241,84.0,97.9724770642202,99.0,mutation_1x,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_018_parallel/background_logs,336.8482401371002,0.0,Training completed successfully,mutation_1x__examples_mnist_rnn_018_parallel|2025-11-20T21:01:59.029453
mutation_1x__examples_siamese_019,2025-11-20T21:10:04.961966,examples,siamese,False,True,425.923446893692,0,Training completed successfully,,,,14.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,13347.6,1020.54,14368.14,178.72891041162248,183.06,75.58,73815.04000000008,74.72639225181598,76.0,50.5181598062954,52.0,mutation_1x,1.0,epochs,,,,,,,,,mutation_1x__examples_siamese_019|2025-11-20T21:10:04.961966
mutation_1x__examples_siamese_020,2025-11-20T21:18:11.243574,examples,siamese,False,True,426.27449083328247,0,Training completed successfully,,,,,,0.0059616129198963,,,,,,,,,,,98.0,0.0001,,,,,,,,13381.93,1007.26,14389.19,181.58305084745768,184.37,75.95,74993.80000000002,74.38983050847457,76.0,50.46731234866828,52.0,mutation_1x,1.0,learning_rate,,,,,,,,,mutation_1x__examples_siamese_020|2025-11-20T21:18:11.243574
