Group,Experiment_ID,Model,Training_Success,Has_Energy,Has_All_Params,Missing_Params
group1a_examples,examples_mnist_ff_023_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_024_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_025_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_rnn_014_parallel,examples/mnist_rnn,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_015_parallel,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_rnn_016_parallel,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_rnn_017_parallel,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_siamese_018_parallel,examples/siamese,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_siamese_019_parallel,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_siamese_020_parallel,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_siamese_021_parallel,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_001_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_002_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_003_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_004_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_041_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_042_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_043_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_044_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_045_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_021_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_022_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_023_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_024_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_025_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_026_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_027_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_028_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_029_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_030_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_ff_031_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_032_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_033_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_034_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_035_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_ff_036_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_037_parallel,examples/mnist_ff,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
