hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,64.0,0.5575860384516412,60.0,5.0,0.05,100.0,42.0,0.0005,0.731845,0.894893,0.963777,74083.98,5854.64,79938.62,246.3697851471282,279.13,15.6,527477.7100000015,82.68425969173283,85.0,71.34049509574965,83.0,2204.59455537796
0.1,64.0,0.4807681789599383,60.0,5.0,0.05,100.0,42.0,0.0005,0.734707,0.894299,0.95962,73285.51,5725.98,79011.49,246.71554245283025,276.08,13.64,523036.9500000001,82.45566037735848,84.0,71.5433962264151,80.0,2182.8280041217804
0.1,64.0,0.5,86.0,5.0,0.05,100.0,42.0,0.0005,0.767004,0.90677,0.969121,185258.07,14971.01,200229.08,241.92642155142076,257.91,12.9,1378496.749999995,82.34661284661284,84.0,64.33590733590734,76.0,5853.202738761902
0.1,64.0,0.5,66.0,5.0,0.05,100.0,42.0,0.0005,0.748033,0.898456,0.961698,142657.86,11588.12,154245.98,241.77156093108184,258.94,14.15,1059442.980000001,82.37608397991785,84.0,64.39046097672296,76.0,4503.648414134979
0.1,64.0,0.5,60.0,5.0,0.0558454953927623,100.0,42.0,0.0005,0.73844,0.898159,0.966746,130701.67,10657.77,141359.44,241.3190375528477,256.44,13.47,970343.8500000006,82.46928624720219,84.0,64.21039542402387,76.0,4133.288360118866
0.1,64.0,0.5,60.0,5.0,0.0330818348259958,100.0,42.0,0.0005,0.787455,0.921021,0.968824,130736.24,10577.72,141313.96,241.28724987555967,254.33,14.25,969492.1699999988,82.19437531110005,84.0,64.00323544051767,76.0,4129.9515154361725
0.1,64.0,0.5,60.0,5.0,0.05,100.0,8010.0,0.0005,0.709973,0.883907,0.952197,135663.1,10933.67,146596.77,240.70284687275327,254.28,14.11,1004452.9799999994,82.03810208483105,84.0,66.98921639108555,79.0,4288.816520929337
0.1,64.0,0.5,60.0,5.0,0.05,100.0,7319.0,0.0005,0.741353,0.901128,0.961995,136106.0,10965.48,147071.48,240.72144359464565,254.56,14.21,1007178.5199999972,82.04230401529637,84.0,66.8914913957935,78.0,4301.237437963486
0.1,64.0,0.5041175754336871,60.0,5.0,0.05,100.0,42.0,0.0005,0.67512,0.860451,0.951603,130318.13,10559.97,140878.1,241.8546055597296,254.2,12.61,965725.4400000004,82.20135236664163,84.0,64.2266466316053,75.0,4104.254828214645
0.1,64.0,0.5353504185669111,60.0,5.0,0.05,100.0,42.0,0.0005,0.554397,0.794537,0.91538,130211.59,10609.08,140820.67,241.88469541238365,258.64,14.03,964878.0499999984,82.2321383805465,84.0,64.28027074454751,75.0,4099.714153289795
0.1,64.0,0.5,70.0,5.0,0.05,100.0,42.0,0.0005,0.775188,0.924584,0.971496,158785.75,12340.98,171126.73,225.379361748634,318.92,13.43,1031110.5800000004,77.72306010928962,84.0,96.89989071038252,100.0,4703.286087751389
0.1,64.0,0.5,59.0,5.0,0.05,100.0,42.0,0.0005,0.777345,0.925772,0.974466,134469.21,10442.83,144912.04,224.99921316533823,319.19,12.26,875021.9400000005,77.9614296734379,84.0,96.70429416302392,100.0,3998.413761377335
0.1,64.0,0.5,60.0,5.0,0.0407555702206187,100.0,42.0,0.0005,0.779663,0.925178,0.974169,136593.76,10740.85,147334.61,222.7807878787877,319.16,11.21,882211.9199999992,77.73484848484848,84.0,96.6070707070707,100.0,4071.315365076065
0.1,64.0,0.5,60.0,5.0,0.0464934848403109,100.0,42.0,0.0005,0.774678,0.92399,0.973278,137289.66,10848.34,148138.0,219.17797388902747,318.9,10.07,872985.8699999964,77.84634697464223,84.0,96.63946773788602,100.0,4095.010011434555
0.1,64.0,0.5,60.0,5.0,0.05,100.0,3637.0,0.0005,0.775912,0.925178,0.974762,145609.63,11420.39,157030.02,222.6148603614172,317.42,12.98,948561.9199999986,79.58976766017366,84.0,96.80122037080496,100.0,4381.209627628326
0.1,64.0,0.5,60.0,5.0,0.05,100.0,6706.0,0.0005,0.778825,0.92399,0.972981,146106.35,11446.24,157552.59,221.3121698334508,315.37,14.55,943453.7800000008,79.59300961764016,85.0,96.94159042927517,100.0,4383.229289531708
0.1,64.0,0.5517920530893529,60.0,5.0,0.05,100.0,42.0,0.0005,0.777243,0.925772,0.974466,138150.41,10874.9,149025.31,213.46514819427176,318.44,11.55,857062.5700000011,77.78306351183063,85.0,96.72752179327522,100.0,4127.994586229324
0.1,64.0,0.4364829381648893,60.0,5.0,0.05,100.0,42.0,0.0005,0.777592,0.928147,0.970012,138732.1,10922.81,149654.91,213.26707918326744,318.53,12.85,856480.5900000021,77.85458167330677,84.0,96.62076693227093,100.0,4129.538664102554
0.1,64.0,0.5,60.0,5.0,0.03294905709564,100.0,42.0,0.0005,0.781272,0.917162,0.967637,131307.6,10521.44,141829.04,235.36458395245188,256.76,10.97,950402.1900000006,82.48117880138682,84.0,64.02922238732046,75.0,4154.828181505203
0.1,64.0,0.3413492264894854,60.0,5.0,0.05,100.0,42.0,0.0005,0.765036,0.914192,0.967043,130989.6,10323.59,141313.19,233.34757839721303,258.67,14.88,937590.570000002,82.33424589347935,84.0,64.84718765555003,77.0,4129.6392657756805
