hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,32.0,0.0,9.0,5.0,0.01,100.0,1.0,0.0,95.0,0.162,8398.65,499.27,8897.92,10.190050761421324,84.1,4.12,2007.4400000000007,50.33502538071066,60.0,0.0,0.0,206.1109688282013
0.1,32.0,0.0,8.0,5.0,0.01,100.0,1.0,0.0,95.0,0.1641,7452.73,441.24,7893.97,10.134400000000005,80.41,3.63,1773.520000000001,44.07428571428572,51.0,0.0114285714285714,2.0,182.71368408203125
0.1,32.0,0.0,10.0,5.0,0.0120917953942012,100.0,1.0,0.0,65.0,1.154,12907.24,776.72,13683.96,7.5031907894736865,78.51,3.63,2280.9700000000007,40.63157894736842,48.0,0.0098684210526315,3.0,315.6199290752411
0.1,32.0,0.0,10.0,5.0,0.0112901530923658,100.0,1.0,0.0,63.0,1.2095,13122.17,801.36,13923.53,7.513495145631074,78.46,3.82,2321.670000000002,38.82847896440129,46.0,0.0064724919093851,2.0,320.8381037712097
0.1,92.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,92.0,0.2553,8147.77,584.14,8731.91,8.747181818181817,77.51,3.67,1924.38,38.48181818181818,44.0,0.0136363636363636,3.0,228.08128905296329
0.1,121.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,91.0,0.3006,7609.71,577.94,8187.65,9.017772511848335,78.04,3.8,1902.7499999999984,38.37440758293839,44.0,0.0,0.0,218.92919826507568
0.1,32.0,0.0,10.0,5.0,0.01,100.0,9809.0,0.0,95.0,0.157,12967.78,779.49,13747.27,7.3482679738562116,77.8,3.46,2248.5700000000006,37.447712418300654,44.0,0.0098039215686274,3.0,317.32926511764526
0.1,32.0,0.0,10.0,5.0,0.01,100.0,7107.0,0.0,96.0,0.1383,12937.68,775.26,13712.94,7.210524590163938,77.42,3.38,2199.210000000001,36.88852459016393,44.0,0.0098360655737704,3.0,316.596932888031
0.1,32.0,0.0,11.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0,10728.71,816.2,11544.91,170.15428571428575,177.82,67.04,55980.76000000001,66.13981762917933,72.0,49.48024316109422,52.0,339.39960956573486
0.1,32.0,0.0,7.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0,6844.19,526.83,7371.02,175.1333014354067,179.6,74.74,36602.86,71.50717703349282,74.0,49.68421052631579,52.0,217.15062713623047
