hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,6502.0,0.0,0.7425037622451782,0.772,59.041,92819.65,7274.89,100094.54,224.56078349856105,319.01,4.76,702201.5700000003,78.11704509114166,84.0,88.2916533418612,100.0,3249.05135846138
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,2376.0,0.0,0.6704787015914917,0.7069,59.023,93307.8,7279.3,100587.1,220.61323745605657,318.68,5.09,690298.820000001,78.18855864493449,84.0,88.46756152125279,100.0,3239.902882814408
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,5426.0,0.0,0.7165942788124084,0.8251,58.991,92995.71,7303.74,100299.45,224.07076135636603,319.53,4.8,700445.2000000002,78.25815738963531,84.0,88.27799104286628,100.0,3203.719003200531
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,1907.0,0.0,0.6957600712776184,0.7101,59.1,93372.0,7350.16,100722.16,220.86136508951364,319.8,4.79,690854.3499999987,78.01150895140665,84.0,88.47314578005115,100.0,3228.7299654483795
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,7178.0,0.0,0.6712085604667664,0.7105,59.018,93214.15,7333.63,100547.78,221.4796303377948,318.96,5.06,695003.08,78.45506692160612,84.0,88.16475462077757,100.0,3219.704037666321
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,3.35973705148307e-05,0.7066717147827148,0.7466,59.045,93658.69,7357.46,101016.15,215.3477963958274,318.77,4.8,681145.080000002,77.51406892190958,84.0,89.01296237748973,100.0,3251.3091592788696
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,1.7245063477405002e-05,0.7066717147827148,0.7466,59.005,93738.67,7340.94,101079.61,218.05748417721543,318.9,5.02,689061.6500000008,78.11898734177215,84.0,88.87531645569621,100.0,3258.2192997932434
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,5.1717018319914426e-05,0.7066717147827148,0.7466,59.022,93894.2,7372.15,101266.35,215.65094154818397,319.42,4.91,682535.2300000022,78.0,84.0,88.88815165876777,100.0,3251.8617372512817
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0003549290960776,0.7066717147827148,0.7466,59.11,93712.45,7421.68,101134.13,217.22608296390183,319.32,4.96,685999.970000002,77.69759341355288,84.0,88.96991766941102,100.0,3267.141434669494
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0008274749235766,0.7066717147827148,0.7466,59.003,94275.34,7483.14,101758.48,218.7910389610392,319.23,4.87,690723.3100000006,77.89230281913208,83.0,88.8907190370605,100.0,3260.3810465335846
0.1,16.0,0.0,12.0,5.0,3.4254572716579966e-05,100.0,2622.0,4.537827474962709e-05,0.6850231885910034,0.7055,59.045,112333.89,8946.9,121280.79,230.63530460228785,319.44,4.65,866958.1099999999,78.22505985634477,83.0,88.40356477786645,100.0,3868.297282218933
0.1,16.0,0.0,10.0,5.0,2.435195203685826e-05,100.0,7532.0,0.0008931224468103,0.7222182750701904,0.6203,59.12,92976.24,7289.46,100265.7,227.40853007397905,319.36,5.14,707013.1200000008,77.6587327114828,83.0,88.57832100353812,100.0,3195.5823040008545
0.1,16.0,0.0,8.0,5.0,1.6037224284643337e-05,100.0,7104.0,0.0002126587852409,0.6470513343811035,0.6555,59.061,74639.35,5832.6,80471.95,231.0730806257524,319.43,5.13,576065.1900000006,78.13437625350983,84.0,88.68511833132771,100.0,2563.6212356090546
0.1,16.0,0.0,10.0,5.0,1.7187901670895263e-05,100.0,357.0,0.0001742037365172,0.686976969242096,0.6378,59.107,93678.41,7341.61,101020.02,221.3807151979561,319.57,5.61,693364.3999999985,77.32662835249042,83.0,88.74169859514687,100.0,3216.370968818665
0.1,16.0,0.0,19.0,5.0,1.7171992804082457e-05,100.0,5443.0,1.952620903351493e-05,0.6628518104553223,0.407,59.002,175448.33,13778.45,189226.78,218.90591133004943,319.03,5.72,1288699.1000000013,78.03584168506879,84.0,89.65313402412094,100.0,6045.748259544373
