experiment_id,timestamp,training_duration,l2_regularization,hyperparam_kfold,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_top1_accuracy,perf_top5_accuracy
bug-localization-by-dnn-and-rvsm_default_050_parallel,2025-12-19T00:31:57.048780,,,4.0,,31740.21,1435.7900000000009,3.644137055837566,0.0,37.0,0.9624740983125192,0.7200000000000002,3.0558375634517745,0.381,0.627
bug-localization-by-dnn-and-rvsm_default_051_parallel,2025-12-19T00:53:18.146259,9170.0,,,,80925.36,3464.3500000000063,3.623797071129714,0.0,37.0,0.9623438190451054,0.6699999999999999,3.57531380753138,0.38,0.626
bug-localization-by-dnn-and-rvsm_default_052_parallel,2025-12-19T01:13:59.707341,,,,4991.0,77871.89,3343.8400000000083,3.614962162162171,0.0,37.0,0.9623883534867332,0.8400000000000003,3.625945945945944,0.379,0.623
bug-localization-by-dnn-and-rvsm_default_001_parallel,2025-12-22T22:06:06.154204,,,,,66078.16,68028.29000000005,86.66024203821662,3.794904458598726,63.0,0.9631416794898646,19.599999999999994,3.924840764331208,0.382,0.629
bug-localization-by-dnn-and-rvsm_default_002_parallel,2025-12-22T22:23:56.485661,,,,,67032.36,69979.71999999999,88.02480503144652,3.7371069182389935,63.0,0.9636007146399144,19.27,0.5333333333333314,0.381,0.627
bug-localization-by-dnn-and-rvsm_default_003_parallel,2025-12-22T22:41:52.254798,,,,,67575.07,70178.53000000007,88.16398241206039,3.67713567839196,64.0,0.9639076955451172,28.129999999999995,1.0603015075376874,0.384,0.63
bug-localization-by-dnn-and-rvsm_default_004_parallel,2025-12-22T22:59:46.163538,,,,,67374.67,70558.41000000003,88.41906015037598,3.743107769423559,64.0,0.9637008982752716,19.78,0.8709273182957418,0.38,0.626
bug-localization-by-dnn-and-rvsm_default_005_parallel,2025-12-22T23:17:38.584341,,,,,67251.62,70265.61000000002,88.49573047858944,3.698992443324937,64.0,0.9639644368418188,21.090000000000003,0.8400503778337551,0.382,0.628
bug-localization-by-dnn-and-rvsm_default_006_parallel,2025-12-22T23:35:29.059809,,,,,67138.53,69709.88999999997,88.24036708860756,3.6,64.0,0.9632092034186628,22.040000000000006,0.9443037974683576,0.38,0.628
bug-localization-by-dnn-and-rvsm_default_007_parallel,2025-12-22T23:53:21.780563,,,,,67349.65,70053.7599999999,88.34017654476658,3.6544766708701135,64.0,0.963265436420234,20.83,0.847414880201768,0.383,0.629
bug-localization-by-dnn-and-rvsm_default_008_parallel,2025-12-23T00:11:09.510607,,,,,67201.36,70037.27000000002,88.65477215189875,3.730379746835443,64.0,0.963602373523393,20.31,0.4544303797468387,0.382,0.627
bug-localization-by-dnn-and-rvsm_default_009_parallel,2025-12-23T00:29:03.296449,,,,,67569.05,70626.42000000001,88.7266582914573,3.605527638190954,64.0,0.962957596710328,21.480000000000004,0.3743718592964811,0.382,0.628
bug-localization-by-dnn-and-rvsm_default_010_parallel,2025-12-23T00:47:01.787229,,,,,68072.62,70814.33999999995,88.85111668757835,3.670012547051443,65.0,0.9637516522795804,21.709999999999997,1.0414052697615972,0.381,0.628
bug-localization-by-dnn-and-rvsm_default_011_parallel,2025-12-23T00:54:16.191616,,,4.0,,22812.49,26346.3,90.22705479452053,5.243150684931507,65.0,0.963044805718271,10.010000000000003,1.0308219178082183,0.383,0.627
bug-localization-by-dnn-and-rvsm_default_012_parallel,2025-12-23T00:58:04.565713,,,2.0,,8570.27,11222.879999999988,91.99081967213104,7.311475409836065,64.0,0.9602824648464984,10.159999999999997,0.0737704918032804,0.372,0.621
bug-localization-by-dnn-and-rvsm_default_013_parallel,2025-12-23T01:07:12.522289,,,5.0,,30870.09,34099.28,89.49942257217847,4.574803149606299,64.0,0.962753914873588,19.97,0.5013123359579978,0.377,0.622
bug-localization-by-dnn-and-rvsm_default_014_parallel,2025-12-23T01:18:06.688586,,,6.0,,38212.16,41216.39,89.02028077753779,4.356371490280778,64.0,0.962911020994364,21.11,0.2311015118790464,0.379,0.627
bug-localization-by-dnn-and-rvsm_default_015_parallel,2025-12-23T01:23:44.103074,,,3.0,,16109.87,19362.48,90.47887850467288,5.780373831775701,64.0,0.9618600274241816,9.89,0.0747663551401842,0.379,0.626
bug-localization-by-dnn-and-rvsm_default_016_parallel,2025-12-23T01:38:03.121283,,,8.0,,52552.07,55616.77000000003,88.84468051118216,4.022364217252396,65.0,0.9637079947564386,21.290000000000006,1.1453674121405726,0.382,0.626
bug-localization-by-dnn-and-rvsm_default_017_parallel,2025-12-23T01:50:39.181886,,,7.0,,45415.83,48369.28999999998,88.91413602941172,3.996323529411765,65.0,0.9636465963519768,19.929999999999996,1.134191176470587,0.377,0.624
bug-localization-by-dnn-and-rvsm_default_018_parallel,2025-12-23T02:06:57.032488,,,9.0,,60861.97,64101.84,88.78371191135733,3.7922437673130194,64.0,0.9635591815381592,21.16,0.1066481994459849,0.38,0.627
bug-localization-by-dnn-and-rvsm_default_019_parallel,2025-12-23T02:24:53.212378,2057.0,,,,67791.4,70777.81000000006,88.6939974937344,3.7042606516290726,65.0,0.9634552465356964,27.930000000000007,1.0563909774435984,0.382,0.629
bug-localization-by-dnn-and-rvsm_default_020_parallel,2025-12-23T02:42:41.323645,9625.0,,,,67010.26,70474.44,88.75874055415618,3.7632241813602016,65.0,0.9633657592135892,28.55,1.0403022670025166,0.382,0.627
bug-localization-by-dnn-and-rvsm_default_021_parallel,2025-12-23T03:00:34.079243,7817.0,,,,67600.76,70348.29999999999,88.71160151324084,3.6960907944514494,65.0,0.9638484833602464,20.36,1.042875157629254,0.379,0.624
bug-localization-by-dnn-and-rvsm_default_022_parallel,2025-12-23T03:18:24.145804,9598.0,,,,67347.18,70283.03000000007,88.62929382093326,3.640605296343001,65.0,0.96350151557942,21.419999999999987,0.9936948297604004,0.38,0.626
bug-localization-by-dnn-and-rvsm_default_023_parallel,2025-12-23T03:36:02.261622,18578.0,,,,66410.71,69554.58000000003,88.71757653061229,3.698979591836735,65.0,0.963316157890798,24.489999999999995,1.0063775510204067,0.381,0.628
bug-localization-by-dnn-and-rvsm_default_024_parallel,2025-12-23T03:53:51.972381,3772.0,,,,67292.02,70236.12999999998,88.68198232323229,3.6275252525252526,65.0,0.9643370788988056,29.669999999999987,1.0012626262626227,0.382,0.628
bug-localization-by-dnn-and-rvsm_default_025_parallel,2025-12-23T04:11:37.085876,15811.0,,,,66982.94,69949.97999999997,88.76901015228422,3.6941624365482233,65.0,0.9641117574116632,27.94,0.8718274111675157,0.381,0.627
bug-localization-by-dnn-and-rvsm_default_026_parallel,2025-12-23T04:29:26.098758,1546.0,,,,67415.87,70078.69999999997,88.81964512040554,3.5956907477820024,65.0,0.9639507730153152,25.289999999999992,0.5614702154626059,0.38,0.629
bug-localization-by-dnn-and-rvsm_default_027_parallel,2025-12-23T04:47:13.624032,,1.553888538869196e-05,,,67322.18,70266.9400000001,88.94549367088621,3.734177215189873,65.0,0.9642548711286534,19.75,0.6392405063291164,0.379,0.625
bug-localization-by-dnn-and-rvsm_default_028_parallel,2025-12-23T05:05:01.923329,,1.1064423627171878e-05,,,67289.48,70613.69999999991,89.158712121212,3.746212121212121,65.0,0.9639066909121604,20.77000000000001,0.5833333333333286,0.383,0.629
bug-localization-by-dnn-and-rvsm_default_029_parallel,2025-12-23T05:22:56.317504,,6.877808105790642e-06,,,67827.04,70575.45,88.88595717884131,3.648614609571789,65.0,0.9637634194268244,26.27,0.6007556675062915,0.383,0.629
bug-localization-by-dnn-and-rvsm_default_030_parallel,2025-12-23T05:40:48.430255,,1.208405052184642e-05,,,67720.69,70680.2299999999,89.01792191435754,3.707808564231738,65.0,0.9641930700942356,21.040000000000006,0.5982367758186342,0.379,0.627
bug-localization-by-dnn-and-rvsm_default_031_parallel,2025-12-23T05:58:40.328033,,1.891601622828019e-05,,,67581.85,70765.86,89.01366037735849,3.70062893081761,65.0,0.9639718356333836,26.5,0.6352201257861623,0.383,0.629
bug-localization-by-dnn-and-rvsm_default_032_parallel,2025-12-23T06:16:35.505760,,9.419970632254051e-06,,,67684.2,71068.77999999996,89.05862155388465,3.713032581453634,65.0,0.9641223505633516,50.75999999999999,0.6403508771929864,0.382,0.628
bug-localization-by-dnn-and-rvsm_default_033_parallel,2025-12-23T06:34:25.757995,,1.9823352277489392e-05,,,67379.28,70961.55,89.14767587939699,3.850502512562814,65.0,0.9642667597516624,21.39,0.6608040201004997,0.376,0.624
bug-localization-by-dnn-and-rvsm_default_034_parallel,2025-12-23T06:52:08.519847,,,,3179.0,66820.94,70097.16,89.06881829733165,3.7420584498094014,65.0,0.9637029948995032,21.49000000000001,0.6188055908513377,0.384,0.628
bug-localization-by-dnn-and-rvsm_default_035_parallel,2025-12-23T07:09:55.233559,,,,9313.0,67261.68,70144.03000000009,88.90244613434739,3.6425855513307983,65.0,0.9634973435097072,21.39,0.4448669201520943,0.382,0.629
bug-localization-by-dnn-and-rvsm_default_036_parallel,2025-12-23T07:28:00.862568,,,,2817.0,68432.16,71106.74000000005,88.66177057356614,3.561097256857855,65.0,0.9639336241907313,47.120000000000005,0.600997506234421,0.374,0.626
bug-localization-by-dnn-and-rvsm_default_037_parallel,2025-12-23T07:46:00.838754,,,,6168.0,68132.83,71119.92999999995,88.78892634207234,3.644194756554307,65.0,0.9642419080493206,32.370000000000005,0.6504369538077412,0.384,0.631
bug-localization-by-dnn-and-rvsm_default_038_parallel,2025-12-23T08:03:33.993300,,,,933.0,66383.97,68915.16000000006,88.80819587628874,3.804123711340206,65.0,0.9641000681339184,24.960000000000008,0.6121134020618513,0.379,0.627
bug-localization-by-dnn-and-rvsm_default_039_parallel,2025-12-23T08:21:29.348137,,,,1396.0,67761.06,70888.37,88.83254385964912,3.706766917293233,65.0,0.9638476729850448,33.7,0.568922305764417,0.382,0.629
bug-localization-by-dnn-and-rvsm_default_040_parallel,2025-12-23T08:39:36.337732,,,,5397.0,68730.81,71374.16999999997,88.77384328358205,3.63681592039801,65.0,0.9641978611920914,23.97,0.4452736318407915,0.381,0.629
