hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0001599501474806,0.7066717147827148,0.7466,58.885,146280.03,8526.8,154806.83,223.63656240601503,319.15,5.22,743591.5700000001,78.81353383458647,84.0,83.41293233082706,100.0,3422.880022764206
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0009534088184387,0.7066717147827148,0.7466,58.832,146621.43,8610.97,155232.4,223.57776742788437,319.45,4.93,744066.8099999991,78.93900240384616,84.0,83.21364182692308,100.0,3426.540603160858
0.1,16.0,0.0,7.0,5.0,2e-05,100.0,42.0,0.0,0.7006516456604004,0.7123,49.39,96838.36,6529.39,103367.75,224.50985114503783,318.62,87.85,588215.8099999991,79.04083969465648,85.0,90.9641221374046,100.0,2689.34157371521
0.1,16.0,0.0,8.0,5.0,2e-05,100.0,42.0,0.0,0.7002695798873901,0.711,49.192,109251.61,7373.25,116624.86,229.87672972972985,318.88,88.84,680435.1200000003,79.85337837837838,84.0,91.34054054054054,100.0,3038.931891679764
0.1,16.0,0.0,14.0,5.0,2e-05,100.0,42.0,0.0,0.8165772557258606,0.7908,49.08,188870.68,12986.24,201856.92,226.99578926829363,318.67,89.64,1163353.4200000048,79.45873170731707,84.0,91.7730731707317,100.0,5259.225195884705
0.1,16.0,0.0,3.0,5.0,1.993331277666769e-05,100.0,42.0,0.0,0.7404462695121765,0.6289,49.026,135850.89,9385.4,145236.29,223.638014665942,318.52,89.52,823435.1699999985,79.2753938077132,84.0,91.65833785985878,100.0,3778.945148944855
0.1,16.0,0.0,3.0,5.0,2.648401537851974e-05,100.0,42.0,0.0,0.7488518357276917,0.8062,48.618,135644.72,9432.51,145077.23,226.51876902173967,318.34,89.5,833589.070000002,79.23423913043479,84.0,91.60760869565216,100.0,3777.23006439209
0.1,16.0,0.0,3.0,5.0,1.847023601769821e-05,100.0,42.0,0.0,0.8021308779716492,0.6416,48.872,136205.55,9520.9,145726.45,223.7522381596756,317.64,89.41,826764.5200000012,79.03328822733424,84.0,91.48173207036535,100.0,3792.6613512039194
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0006613687937758,0.7066717147827148,0.7466,49.022,137806.57,9530.32,147336.89,222.8185561497328,319.01,89.46,833341.4000000007,78.98288770053476,84.0,91.99946524064173,100.0,3838.534506082535
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0003533247635941,0.7066717147827148,0.7466,48.979,138710.85,9475.98,148186.83,219.998142324094,319.76,89.25,825433.0300000006,78.75,84.0,92.04077825159916,100.0,3850.470060348511
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,9895.0,0.0,0.7365483045578003,0.7108,49.077,137713.2,9331.81,147045.01,219.7873229613738,318.64,89.61,819367.1400000015,79.15343347639485,84.0,91.6357296137339,100.0,3825.728688716888
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,3166.0,0.0,0.7477455139160156,0.7851,55.403,136731.12,9250.47,145981.59,223.913885590934,318.92,89.38,829824.8600000014,79.32298974635727,84.0,91.49028602266594,100.0,3803.3286497592926
0.1,16.0,0.0,12.0,5.0,4.102533463218298e-05,100.0,9773.0,0.0001588187018306,0.6939049959182739,0.707,48.793,165205.01,11271.25,176476.26,222.0846021457312,318.42,87.9,993606.5100000016,78.86767992847564,84.0,92.1741171211444,100.0,4591.945084571838
0.1,16.0,0.0,13.0,5.0,1.8543238612121332e-05,100.0,643.0,0.0002179954553565,0.675241231918335,0.5408,48.561,177797.83,12121.73,189919.56,223.88660918346145,318.15,89.61,1077566.25,79.25472678163308,84.0,92.00519426553086,100.0,4940.045302867889
0.1,16.0,0.0,14.0,5.0,2.7766543535903265e-05,100.0,3537.0,8.880984464102331e-05,0.7105929851531982,0.7054,49.274,192621.05,13388.57,206009.62,221.5327018216698,318.72,89.46,1155293.040000008,78.61380632790029,84.0,92.35512943432408,100.0,5351.70033454895
0.1,16.0,0.0,7.0,5.0,3.4372008288375434e-05,100.0,1057.0,0.0004038992942816,0.6893677115440369,0.7139,49.125,97652.28,6745.53,104397.81,223.0221683093259,318.98,89.56,588332.4800000017,78.61068991660349,84.0,91.49052312357848,100.0,2707.599125146866
0.1,16.0,0.0,12.0,5.0,2.410559253081955e-05,100.0,3295.0,0.0003398017456837,0.8709346055984497,0.7153,48.664,164170.21,11177.45,175347.66,227.0890986931049,318.77,89.12,1007821.4199999992,79.28841820639929,84.0,92.08607480847228,100.0,4554.274850606918
