experiment_id,timestamp,repository,model,mode,is_parallel,training_duration,hyperparam_learning_rate,hyperparam_batch_size,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_power_max_watts,gpu_power_min_watts,gpu_util_avg,gpu_temp_max,gpu_temp_avg,perf_test_accuracy,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_kfold,l2_regularization,perf_top1_accuracy,perf_top5_accuracy,perf_accuracy,perf_precision,perf_recall,perf_eval_loss
MRT-OAST_default_005,2025-11-27T00:40:39.697491,MRT-OAST,default,default,0,10,0.0001,,2339,41494.99,299031.3299999998,236.38840316205517,317.53,76.63,92.71304347826087,84.0,79.4901185770751,,0.12185545598942257,240.89999999999998,4.509881422924906,0.2,,,,,0.0,,,4622.0,0.98178,0.780306,
pytorch_resnet_cifar10_resnet20_023,2025-11-27T05:55:36.886113,pytorch_resnet_cifar10,resnet20,default,0,200,0.1,,8202,51458.59,256339.48000000019,232.8242325158948,253.18,76.36,59.49227974568574,82.0,79.30699364214351,91.62,0.16718295212182444,176.82,2.69300635785649,,,,,,0.0001,,,,,,
Person_reID_baseline_pytorch_hrnet18_043,2025-11-27T21:21:17.981261,Person_reID_baseline_pytorch,hrnet18,default,0,86,0.05,,1334,200229.08,1378496.7499999953,241.92642155142073,257.91,12.9,64.33590733590734,84.0,82.34661284661284,,0.12682954582430603,245.01000000000002,1.6533871533871576,0.5,0.767004,0.90677,0.969121,,,,,,,,
pytorch_resnet_cifar10_resnet20_022,2025-11-27T05:35:37.378238,pytorch_resnet_cifar10,resnet20,default,0,200,0.13784597287995512,,1334,50718.66,249823.60999999972,229.40643709825503,249.82,76.27,54.391184573002754,82.0,79.02754820936639,91.43,0.16875716018249295,173.55,2.972451790633613,,,,,,0.0001,,,,,,
examples_mnist_060,2025-11-28T15:20:42.280777,examples,mnist,default,0,5,0.01,32.0,1,2526.54,6649.51,94.99300000000001,97.41,76.01,11.685714285714285,67.0,65.77142857142857,99.0,0.27534069670500927,21.39999999999999,1.2285714285714278,,,,,,,,,,,,
examples_mnist_059,2025-11-28T15:18:25.275123,examples,mnist,default,0,11,0.01,32.0,1,5469.94,14819.120000000004,96.22805194805197,98.48,76.42,11.571428571428571,69.0,68.11688311688312,99.0,0.2696004644867726,22.060000000000002,0.8831168831168839,,,,,,,,,,,,
examples_mnist_rnn_073,2025-11-28T16:23:19.481314,examples,mnist_rnn,default,0,10,0.01,32.0,9809,13747.27,2248.5700000000006,7.3482679738562116,77.8,3.46,0.00980392156862745,44.0,37.447712418300654,95.0,0.8594278262348211,74.34,6.552287581699346,,,,,,,,,,,,
Person_reID_baseline_pytorch_densenet121_036,2025-11-27T15:20:41.956412,Person_reID_baseline_pytorch,densenet121,default,0,45,0.05,,1334,60219.49,400740.55999999994,247.21811227637258,275.7,13.36,70.62368908081432,85.0,82.42628007402838,,0.13063928208095257,262.34,2.5737199259716164,0.5,0.737183,0.898159,0.960214,,,,,,,,
pytorch_resnet_cifar10_resnet20_024,2025-11-27T06:15:30.881648,pytorch_resnet_cifar10,resnet20,default,0,200,0.1,,7551,51211.14,256916.15999999992,233.98557377049173,254.92,76.53,59.88433515482696,82.0,79.55464480874316,91.91,0.16620124214894302,178.39,2.445355191256837,,,,,,0.0001,,,,,,
Person_reID_baseline_pytorch_hrnet18_048,2025-11-28T03:22:32.493755,Person_reID_baseline_pytorch,hrnet18,default,0,60,0.05,,7319,147071.48,1007178.5199999973,240.72144359464565,254.56,14.21,66.8914913957935,84.0,82.04230401529637,,0.12741735325969272,240.35,1.9576959847036335,0.5,0.741353,0.901128,0.961995,,,,,,,,
